Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2004-09-30,39.0,39.27,38.45,38.75,7589500.0,0.0,1.0,2.4601141488011984,2.477145708292899,2.4254202313181046,2.444344186308883,106253000.0
2004-09-29,37.93,38.86,37.82,38.68,4884100.0,0.0,1.0,2.3926187093340885,2.4512829698055016,2.38567992583747,2.439928596811035,68377400.0
2004-09-28,37.5,38.29,37.45,38.04,6306900.0,0.0,1.0,2.365494373847306,2.415327455323023,2.3623403813488433,2.3995574928307075,88296600.0
2004-09-27,36.97,37.98,36.83,37.53,7098500.0,0.0,1.0,2.3320620533635976,2.3957727018325516,2.323230874367901,2.367386769346384,99379000.0
2004-09-24,37.4,38.0,37.15,37.29,6598000.0,0.0,1.0,2.35918638885038,2.397034298831937,2.3434164263580644,2.352247605353761,92372000.0
2004-09-23,37.04,37.5,36.93,37.27,7096500.0,0.0,1.0,2.3364776428614458,2.365494373847306,2.329538859364827,2.350986008354376,99351000.0
2004-09-22,38.1,38.14,36.81,36.92,7173000.0,0.0,1.0,2.403342283828863,2.4058654778276334,2.321969277368516,2.3289080608651345,100422000.0
2004-09-21,37.73,38.87,37.46,38.01,6904500.0,0.0,1.0,2.3800027393402363,2.4519137683051944,2.3629711798485356,2.3976650973316294,96663000.0
2004-09-20,36.9,37.98,36.87,37.71,4375000.0,0.0,1.0,2.327646463865749,2.3957727018325516,2.3257540683666713,2.3787411423408513,61250000.0
2004-09-17,36.55,37.38,36.4,37.14,8969800.0,0.0,1.0,2.3055685163765074,2.357924791850995,2.2961065388811184,2.342785627858372,125577200.0
2004-09-16,35.2,36.76,35.08,36.35,8962800.0,0.0,1.0,2.220410718918005,2.3188152848700527,2.212841136921693,2.2929525463826557,125479200.0
2004-09-15,35.2,35.477,34.8,35.2,4154800.0,0.0,1.0,2.220410718918005,2.23788383735949,2.1951787789303,2.220410718918005,58167200.0
2004-09-14,35.3,35.55,34.78,35.49,4550400.0,0.0,1.0,2.2267187039149308,2.242488666407246,2.193917181930915,2.2387038754090907,63705600.0
2004-09-13,35.86,36.07,35.32,35.59,5035300.0,0.0,1.0,2.2620434198977173,2.275290188391262,2.227980300914316,2.245011860406017,70494200.0
2004-09-10,35.66,36.23,35.46,35.87,5857400.0,0.0,1.0,2.2494274499038647,2.285382964386344,2.236811479910013,2.2626742183974096,82003600.0
2004-09-09,36.1,36.3,35.28,35.7,8238200.0,0.0,1.0,2.2771825838903403,2.289798553884192,2.2254571069155458,2.2519506439026356,115334800.0
2004-09-08,35.7,36.57,35.68,36.35,6134400.0,0.0,1.0,2.2519506439026356,2.306830113375893,2.25068904690325,2.2929525463826557,85881600.0
2004-09-07,35.4,36.19,35.23,35.76,5392100.0,0.0,1.0,2.233026688911857,2.2828597703875735,2.222303114417082,2.255735434900791,75489400.0
2004-09-03,35.03,35.92,35.01,35.23,5240500.0,0.0,1.0,2.2096871444232304,2.265828210895873,2.208425547423845,2.222303114417082,73367000.0
2004-09-02,35.5,35.81,34.83,35.66,7255800.0,0.0,1.0,2.2393346739087834,2.2588894273992546,2.197071174429378,2.2494274499038647,101581200.0
2004-09-01,34.3,35.99,34.19,35.86,9209400.0,0.0,1.0,2.163638853945669,2.2702438003937213,2.1567000704490504,2.2620434198977173,128931600.0
2004-08-31,34.07,34.95,34.0,34.49,6724300.0,0.0,1.0,2.149130488452739,2.2046407564256896,2.144714898954891,2.1756240254398294,94140200.0
2004-08-30,34.02,34.72,33.96,34.12,3895400.0,0.0,1.0,2.1459764959542764,2.1901323909327592,2.1421917049561205,2.1522844809512023,54535600.0
2004-08-27,34.61,34.76,34.0,34.35,6943100.0,0.0,1.0,2.18319360743614,2.1926555849315297,2.144714898954891,2.1667928464441326,97203400.0
2004-08-26,33.09,35.18,32.74,34.66,17068900.0,0.0,1.0,2.0873122354828633,2.2191491219186195,2.0652342879936216,2.1863475999346034,238964600.0
2004-08-25,31.91,33.15,31.73,33.05,9028900.0,0.0,1.0,2.0128780125191343,2.0910970264810187,2.001523639524667,2.0847890414840924,126404600.0
2004-08-24,31.26,31.95,31.19,31.95,6681000.0,0.0,1.0,1.9718761100391144,2.0154012065179048,1.9674605205412663,2.0154012065179048,93534000.0
2004-08-23,30.86,31.27,30.6,31.08,4547500.0,0.0,1.0,1.9466441700514099,1.972506908538807,1.9302434090594018,1.9605217370446473,63665000.0
2004-08-20,30.71,30.99,30.49,30.8,5656800.0,0.0,1.0,1.9371821925560206,1.9548445505474137,1.923304625562783,1.9428593790532542,79195200.0
2004-08-19,31.51,31.86,30.36,30.71,6945000.0,0.0,1.0,1.98764607253143,2.009724020020671,1.915104245066779,1.9371821925560206,97230000.0
2004-08-18,30.51,31.85,30.49,31.74,6511700.0,0.0,1.0,1.9245662225621685,2.009093221520979,1.923304625562783,2.00215443802436,91163800.0
